Source,Target,Weight,Type
"Ajuda-Pinto, Marquis Miguel d’","Bauvan, Comte Octave de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Beaumesnil, Mademoiselle",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Beaupre, Fanny",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Bianchon, Horace",3,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Bibi-Lupin (chief of secret police, called himself Gondureau)",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Bixiou, Jean-Jacques",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Blondet, Emile",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Bouvard, Doctor",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Braschon,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Bridau, Philippe",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Cachan,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Camusot de Marville,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Camusot de Marville, Madame",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Cerizet,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Chardon, Madame (nee Rubempre)",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Chatelet, Sixte, Baron du",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Chaulieu, Henri, Duc de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Collin, Jacqueline",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Collin, Jacques",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Corentin,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Crottat, Monsieur and Madame",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Dauriat,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Derville,2,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Desplein,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Desroches (son),1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Espard, Chevalier d’",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’",3,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Estourny, Charles d’",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Falleix, Jacques",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Finot, Andoche",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Fouche, Joseph",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Gaillard, Madame Theodore",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Gaillard, Theodore",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Gaudissart, Felix",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Givry,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Gobseck, Esther Van",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Gobseck, Sarah Van",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Godeschal, Marie",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Duc Ferdinand de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Duchesse Ferdinand de",2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Mademoiselle de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Vicomte Juste de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Vicomtesse de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Grandlieu, Vicomtesse Juste de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Granville, Baron Eugene de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Granville, Vicomte de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Grindot,2,Undirected
"Ajuda-Pinto, Marquis Miguel d’","Herrera, Carlos",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Katt,1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","La Peyrade, Charles-Marie-Theodose de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’","La Peyrade, Madame de",1,Undirected
"Ajuda-Pinto, Marquis Miguel d’",Lebrun,1,Undirected
