Id,Label
"Ajuda-Pinto, Marquis Miguel d’","Ajuda-Pinto, Marquis Miguel d’"
"Bauvan, Comte Octave de","Bauvan, Comte Octave de"
"Beaumesnil, Mademoiselle","Beaumesnil, Mademoiselle"
"Beaupre, Fanny","Beaupre, Fanny"
"Bianchon, Horace","Bianchon, Horace"
"Bibi-Lupin (chief of secret police, called himself Gondureau)","Bibi-Lupin (chief of secret police, called himself Gondureau)"
"Bixiou, Jean-Jacques","Bixiou, Jean-Jacques"
"Blondet, Emile","Blondet, Emile"
"Bouvard, Doctor","Bouvard, Doctor"
Braschon,Braschon
"Bridau, Philippe","Bridau, Philippe"
Cachan,Cachan
Camusot de Marville,Camusot de Marville
"Camusot de Marville, Madame","Camusot de Marville, Madame"
Cerizet,Cerizet
"Chardon, Madame (nee Rubempre)","Chardon, Madame (nee Rubempre)"
"Chatelet, Sixte, Baron du","Chatelet, Sixte, Baron du"
"Chaulieu, Henri, Duc de","Chaulieu, Henri, Duc de"
"Collin, Jacqueline","Collin, Jacqueline"
"Collin, Jacques","Collin, Jacques"
Corentin,Corentin
"Crottat, Monsieur and Madame","Crottat, Monsieur and Madame"
Dauriat,Dauriat
Derville,Derville
Desplein,Desplein
Desroches (son),Desroches (son)
"Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’","Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’"
"Espard, Chevalier d’","Espard, Chevalier d’"
"Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’","Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’"
"Estourny, Charles d’","Estourny, Charles d’"
"Falleix, Jacques","Falleix, Jacques"
"Finot, Andoche","Finot, Andoche"
"Fouche, Joseph","Fouche, Joseph"
"Gaillard, Madame Theodore","Gaillard, Madame Theodore"
"Gaillard, Theodore","Gaillard, Theodore"
"Gaudissart, Felix","Gaudissart, Felix"
Givry,Givry
"Gobseck, Esther Van","Gobseck, Esther Van"
"Gobseck, Sarah Van","Gobseck, Sarah Van"
"Godeschal, Marie","Godeschal, Marie"
"Grandlieu, Duc Ferdinand de","Grandlieu, Duc Ferdinand de"
"Grandlieu, Duchesse Ferdinand de","Grandlieu, Duchesse Ferdinand de"
"Grandlieu, Mademoiselle de","Grandlieu, Mademoiselle de"
"Grandlieu, Vicomte Juste de","Grandlieu, Vicomte Juste de"
"Grandlieu, Vicomtesse de","Grandlieu, Vicomtesse de"
"Grandlieu, Vicomtesse Juste de","Grandlieu, Vicomtesse Juste de"
"Granville, Baron Eugene de","Granville, Baron Eugene de"
"Granville, Vicomte de","Granville, Vicomte de"
Grindot,Grindot
"Herrera, Carlos","Herrera, Carlos"
Katt,Katt
"La Peyrade, Charles-Marie-Theodose de","La Peyrade, Charles-Marie-Theodose de"
"La Peyrade, Madame de","La Peyrade, Madame de"
Lebrun,Lebrun
"Lenoncourt-Givry, Duchesse de","Lenoncourt-Givry, Duchesse de"
Louchard,Louchard
"Louis XVIII., Louis-Stanislas-Xavier","Louis XVIII., Louis-Stanislas-Xavier"
"Lousteau, Etienne","Lousteau, Etienne"
"Lupeaulx, Clement Chardin des","Lupeaulx, Clement Chardin des"
Madeleine,Madeleine
Marron,Marron
Massol,Massol
