Id,Label,POS_Category,Total_Frequency
Lucien,Lucien,PROPN,1711
homme,homme,NOUN,668
pouvoir,pouvoir,VERB,666
madame,madame,NOUN,604
monsieur,monsieur,NOUN,591
aller,aller,VERB,581
grand,grand,ADJ,506
trouver,trouver,VERB,506
David,David,PROPN,504
femme,femme,NOUN,487
franc,franc,NOUN,476
voir,voir,VERB,476
vouloir,vouloir,VERB,471
donner,donner,VERB,457
petit,petit,ADJ,453
venir,venir,VERB,436
devoir,devoir,VERB,434
prendre,prendre,VERB,405
mettre,mettre,VERB,386
Bargeton,Bargeton,PROPN,354
beau,beau,ADJ,348
jeune,jeune,ADJ,323
poète,poète,NOUN,312
savoir,savoir,VERB,312
journal,journal,NOUN,304
Coralie,Coralie,PROPN,299
jour,jour,NOUN,297
ami,ami,NOUN,285
Ève,Ève,PROPN,279
Lousteau,Lousteau,PROPN,277
répondre,répondre,VERB,275
Séchard,Séchard,PROPN,270
Paris,Paris,PROPN,262
monde,monde,NOUN,260
vie,vie,NOUN,255
Cointet,Cointet,PROPN,247
moment,moment,NOUN,246
article,article,NOUN,238
père,père,NOUN,232
demander,demander,VERB,224
aimer,aimer,VERB,223
Petit-Claud,Petit-Claud,PROPN,217
Angoulême,Angoulême,PROPN,212
esprit,esprit,NOUN,212
vieux,vieux,ADJ,211
laisser,laisser,VERB,205
livre,livre,NOUN,205
chose,chose,NOUN,204
heure,heure,NOUN,199
seul,seul,ADJ,198
enfant,enfant,NOUN,196
papier,papier,NOUN,193
falloir,falloir,VERB,192
passer,passer,VERB,189
affaire,affaire,NOUN,186
temps,temps,NOUN,186
Finot,Finot,PROPN,185
devenir,devenir,VERB,184
parler,parler,VERB,184
regarder,regarder,VERB,184
cœur,cœur,NOUN,182
air,air,NOUN,176
fils,fils,NOUN,175
amour,amour,NOUN,174
mois,mois,NOUN,174
mot,mot,NOUN,174
rendre,rendre,VERB,174
Châtelet,Châtelet,PROPN,170
frère,frère,NOUN,169
pauvre,pauvre,ADJ,169
connaître,connaître,VERB,168
main,main,NOUN,166
vivre,vivre,VERB,165
arriver,arriver,VERB,163
oeil,oeil,NOUN,163
fois,fois,NOUN,159
an,an,NOUN,157
fortune,fortune,NOUN,154
province,province,NOUN,154
payer,payer,VERB,153
écrier,écrier,VERB,152
tenir,tenir,VERB,151
entendre,entendre,VERB,145
croire,croire,VERB,144
maison,maison,NOUN,142
Florine,Florine,PROPN,139
lettre,lettre,NOUN,138
mère,mère,NOUN,138
comprendre,comprendre,VERB,137
penser,penser,VERB,137
rue,rue,NOUN,137
fille,fille,NOUN,136
nom,nom,NOUN,134
tête,tête,NOUN,131
dîner,dîner,NOUN,126
rester,rester,VERB,124
Nathan,Nathan,PROPN,122
argent,argent,NOUN,122
montrer,montrer,VERB,122
regard,regard,NOUN,121
sortir,sortir,VERB,121
libraire,libraire,NOUN,120
acteur,acteur,NOUN,119
écrire,écrire,VERB,119
entrer,entrer,VERB,118
paraître,paraître,VERB,118
soir,soir,NOUN,118
revenir,revenir,VERB,117
Louise,Louise,PROPN,115
dernier,dernier,ADJ,115
imprimerie,imprimerie,NOUN,115
attendre,attendre,VERB,113
chambre,chambre,NOUN,113
journaliste,journaliste,NOUN,113
porter,porter,VERB,113
recevoir,recevoir,VERB,113
auteur,auteur,NOUN,112
sœur,sœur,NOUN,112
Dauriat,Dauriat,PROPN,111
idée,idée,NOUN,110
nouveau,nouveau,ADJ,110
perdre,perdre,VERB,109
place,place,NOUN,109
raison,raison,NOUN,109
servir,servir,VERB,109
vendre,vendre,VERB,108
lire,lire,VERB,107
porte,porte,NOUN,106
œuvre,œuvre,NOUN,106
succès,succès,NOUN,105
intérêt,intérêt,NOUN,104
secret,secret,NOUN,104
Blondet,Blondet,PROPN,103
pied,pied,NOUN,103
plaisir,plaisir,NOUN,102
jeter,jeter,VERB,101
heureux,heureux,ADJ,100
poésie,poésie,NOUN,100
reprendre,reprendre,VERB,100
famille,famille,NOUN,99
Cérizet,Cérizet,PROPN,98
société,société,NOUN,98
pensée,pensée,NOUN,97
théâtre,théâtre,NOUN,97
jouer,jouer,VERB,96
sentir,sentir,VERB,96
Kolb,Kolb,PROPN,95
pièce,pièce,NOUN,95
chercher,chercher,VERB,94
Chardon,Chardon,PROPN,93
appeler,appeler,VERB,92
doute,doute,NOUN,92
manière,manière,NOUN,92
sentiment,sentiment,NOUN,92
Espard,Espard,PROPN,90
gagner,gagner,VERB,89
gloire,gloire,NOUN,89
Arthez,Arthez,PROPN,88
marquise,marquise,NOUN,88
moyen,moyen,NOUN,88
maître,maître,NOUN,87
offrir,offrir,VERB,87
prix,prix,NOUN,87
reconnaître,reconnaître,VERB,87
talent,talent,NOUN,87
presse,presse,NOUN,86
Camusot,Camusot,PROPN,85
France,France,PROPN,85
cacher,cacher,VERB,85
coup,coup,NOUN,85
nommer,nommer,VERB,85
quitter,quitter,VERB,85
voix,voix,NOUN,85
besoin,besoin,NOUN,84
compter,compter,VERB,84
matin,matin,NOUN,83
obtenir,obtenir,VERB,83
ville,ville,NOUN,83
milieu,milieu,NOUN,82
riche,riche,ADJ,82
Étienne,Étienne,PROPN,82
billet,billet,NOUN,81
cause,cause,NOUN,81
génie,génie,NOUN,81
acheter,acheter,VERB,80
bas,bas,ADJ,78
Houmeau,Houmeau,PROPN,77
blanc,blanc,ADJ,77
lieu,lieu,NOUN,77
mari,mari,NOUN,77
parole,parole,NOUN,77
finir,finir,VERB,76
maîtresse,maîtresse,NOUN,76
présenter,présenter,VERB,76
roi,roi,NOUN,76
âme,âme,NOUN,76
Rubempré,Rubempré,PROPN,75
avoué,avoué,NOUN,75
bonheur,bonheur,NOUN,75
caractère,caractère,NOUN,74
beauté,beauté,NOUN,73
garder,garder,VERB,73
politique,politique,ADJ,73
avenir,avenir,NOUN,72
causer,causer,VERB,72
fin,fin,NOUN,72
lendemain,lendemain,NOUN,72
noble,noble,ADJ,72
occuper,occuper,VERB,72
rencontrer,rencontrer,VERB,72
agir,agir,VERB,71
force,force,NOUN,71
malheur,malheur,NOUN,71
commencer,commencer,VERB,70
commerce,commerce,NOUN,70
long,long,ADJ,70
vrai,vrai,ADJ,70
apercevoir,apercevoir,VERB,69
rédacteur,rédacteur,NOUN,69
travail,travail,NOUN,69
imprimeur,imprimeur,NOUN,68
mauvais,mauvais,ADJ,68
monter,monter,VERB,68
passion,passion,NOUN,68
Bérénice,Bérénice,PROPN,67
amant,amant,NOUN,67
cour,cour,NOUN,67
gros,gros,ADJ,66
loge,loge,NOUN,66
manquer,manquer,VERB,66
nécessaire,nécessaire,ADJ,66
tirer,tirer,VERB,66
valoir,valoir,VERB,66
directeur,directeur,NOUN,65
joli,joli,ADJ,65
misère,misère,NOUN,65
tomber,tomber,VERB,65
Merlin,Merlin,PROPN,64
Vernou,Vernou,PROPN,64
bras,bras,NOUN,64
droit,droit,NOUN,64
garçon,garçon,NOUN,64
roman,roman,NOUN,64
