Source,Target,Weight
David,Ève,85
Cointet,David,60
Finot,Lousteau,50
Cointet,Petit-Claud,48
Coralie,Florine,46
Camusot,Coralie,42
Châtelet,Louise,42
Florine,Lousteau,42
David,Petit-Claud,41
Dauriat,Lousteau,34
David,Kolb,33
Coralie,Lousteau,31
Cérizet,Cointet,28
Blondet,Lousteau,27
David,Père Séchard,27
Lousteau,Nathan,27
Lousteau,Vernou,26
Cointet,Ève,25
Kolb,Marion,24
Dauriat,Finot,22
David,Marion,22
Florine,Matifat,21
Cérizet,David,20
Ève,Petit-Claud,20
Blondet,Nathan,19
Cérizet,Petit-Claud,19
Dauriat,Nathan,19
Blondet,Finot,18
Camusot,Florine,18
Coralie,Nathan,18
Lousteau,Matifat,18
Ève,Mme de Rubempré,18
Cointet,Père Séchard,17
Finot,Florine,17
Francis,Mmme de Sénonches,17
Châtelet,Mme d'Espard,16
Coralie,Finot,16
Cérizet,Ève,16
David,Mme de Rubempré,16
Finot,Nathan,16
Louise,Mme d'Espard,16
Ève,Marion,16
Blondet,Coralie,15
Camusot,Lousteau,15
Camusot,Matifat,15
Cointet,Kolb,14
Père Séchard,Petit-Claud,14
Coralie,Matifat,13
David,Louise,13
Finot,Vernou,13
Florine,Nathan,13
Louise,Mmme de Chandour,13
Louise,Petit-Claud,13
Châtelet,M de Chandour,12
Cérizet,Kolb,12
Françoise de La Haye,Mmme de Sénonches,12
Louise,Mmme de Sénonches,12
Nathan,Vernou,12
Ève,Kolb,12
Ève,Père Séchard,12
Blondet,Dauriat,11
Châtelet,Mmme de Chandour,11
Coralie,Dauriat,11
Chrestien,Giraud,10
Chrestien,Ridal,10
Chrestien,d'Arthez,10
Coralie,Mlle des Touches,10
Coralie,Mme d'Espard,10
Coralie,d'Arthez,10
Dauriat,Florine,10
Francis,Françoise de La Haye,10
Mmme de Sénonches,Petit-Claud,10
d'Arthez,Giraud,10
Blondet,Vernou,9
Châtelet,Mmme de Sénonches,9
Cointet,Mmme de Sénonches,9
Finot,Matifat,9
Francis,Louise,9
Françoise de La Haye,Petit-Claud,9
Bianchon,Chrestien,8
Bianchon,d'Arthez,8
Blondet,Florine,8
Blondet,Mme de Montcornet,8
Cointet,Marion,8
Cérizet,Marion,8
Dauriat,Vernou,8
David,Didot,8
Des Lupeaulx,Finot,8
Kolb,Père Séchard,8
Louise,M de Chandour,8
Marion,Père Séchard,8
Châtelet,Coralie,7
Châtelet,Francis,7
Cointet,Françoise de La Haye,7
Coralie,Du Bruel,7
Coralie,Mme de Montcornet,7
Du Bruel,Lousteau,7
Gentil,Louise,7
Giraud,Ridal,7
Kolb,Petit-Claud,7
Louise,M de Bargeton,7
M de Chandour,Mmme de Chandour,7
d'Arthez,Lousteau,7
Évêque,Louise,7
Bianchon,Giraud,6
Bianchon,Ridal,6
Bixiou,Blondet,6
Blondet,Mme d'Espard,6
Bridau,Chrestien,6
Bridau,Ridal,6
