	Novel	Characters	# of Re-Occurring Characters
44	Scenes from a Courtesan’s Life	['Braschon', 'Givry', 'Corentin', 'Katt', 'Collin, Jacques', 'Meynardie, Madame', 'Gobseck, Esther Van', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Sechard, David', 'Desroches (son)', 'Grandlieu, Mademoiselle de', 'Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’', 'Mirbel, Madame de', 'Lenoncourt-Givry, Duchesse de', 'Derville', 'Chardon, Madame (nee Rubempre)', 'Bibi-Lupin (chief of secret police, called himself Gondureau)', 'La Peyrade, Madame de', 'Rhetore, Duc Alphonse de', 'Beaumesnil, Mademoiselle', 'Peyrade', 'Nourrisson, Madame', 'Serizy, Comtesse de', 'Louchard', 'Vernou, Felicien', 'Rubempre, Lucien-Chardon de', 'Cerizet', 'Dauriat', 'Gaillard, Theodore', 'Blondet, Emile', 'Schmucke, Wilhelm', 'Ajuda-Pinto, Marquis Miguel d’', 'Maufrigneuse, Duchesse de', 'Selerier', 'Godeschal, Marie', 'Collin, Jacqueline', 'Bianchon, Horace', 'Lebrun', 'Gobseck, Sarah Van', 'Marron', 'Cachan', 'Estourny, Charles d’', 'Madeleine', 'Portenduere, Vicomte Savinien de', 'Rastignac, Eugene de', 'Grandlieu, Duc Ferdinand de', 'Grandlieu, Vicomte Juste de', 'Lupeaulx, Clement Chardin des', 'Montcornet, Marechal, Comte de', 'Nucingen, Baron Frederic de', 'La Peyrade, Charles-Marie-Theodose de', 'Nathan, Raoul', 'Falleix, Jacques', 'Bauvan, Comte Octave de', 'Crottat, Monsieur and Madame', 'Camusot de Marville, Madame', 'Poiret, Madame (nee Christine-Michelle Michonneau)', 'Espard, Chevalier d’', 'Maufrigneuse, Duc de', 'Herrera, Carlos', 'Grandlieu, Vicomtesse de', 'Poiret, the elder', 'Lousteau, Etienne', 'Chatelet, Sixte, Baron du', 'Granville, Vicomte de', 'Fouche, Joseph', 'Navarreins, Duc de', 'Bouvard, Doctor', 'Grindot', 'Louis XVIII., Louis-Stanislas-Xavier', 'Vivet, Madeleine', 'Granville, Baron Eugene de', 'Gaillard, Madame Theodore', 'Nucingen, Baronne Delphine de', 'Finot, Andoche', 'Grandlieu, Duchesse Ferdinand de', 'Chaulieu, Henri, Duc de', 'Camusot de Marville', 'Bridau, Philippe', 'Beaupre, Fanny', 'Tours-Minieres, Bernard-Polydor Bryond, Baron des', 'Sechard, Madame David', 'Grandlieu, Vicomtesse Juste de', 'Nathan, Madame Raoul', 'Bixiou, Jean-Jacques', 'Massol', 'Gaudissart, Felix', 'Serizy, Comte Hugret de', 'Desplein']	89
56	The Deputy of Arcis	['Camps, Madame Octave de', 'Lanty, Marianina de', 'Collin, Jacques', 'Zambinella', 'Sallenauve, Comtesse de', 'Marion (of Arcis)', 'Rastignac, Eugene de', 'Saint-Hereen, Comtesse Moina de', 'Vinet', 'Varlet', 'Troubert, Abbe Hyacinthe', 'Carigliano, Duchesse de', 'Nucingen, Baronne Delphine de', 'Goujet, Abbe', 'Suzon', 'Canalis, Constant-Cyr-Melchior, Baron de', 'La Bastie la Briere, Madame Ernest de', 'Maufrigneuse, Georges de', 'Michu, Madame Francois', 'Sarrasine, Ernest-Jean', 'Camps, Octave de', 'Gothard', 'Beauvisage (tenant)', 'Lanty, Comtesse de', 'Keller, Francois', 'Gaston, Marie', 'Lenoncourt-Givry, Duc de', 'Tillet, Ferdinand du', 'Montriveau, General Marquis Armand de', 'Vien, Joseph-Marie', 'Marion (brother)', 'Franchessini, Colonel', 'Lanty, Filippo de', 'Maufrigneuse, Berthe de', 'Stidmann', 'Trailles, Comte Maxime de', 'Gondreville, Malin, Comte de', 'Estorade, Armand de l’', 'Mary', 'Beauvisage, Phileas', 'Hortense', 'Bridau, Joseph', 'Michu, Francois', 'Restaud, Madame Ernest de', 'Ronquerolles, Marquis de', 'Hulot, Victorin', 'Estorade, Louis, Chevalier, then Vicomte and Comte de l’', 'Philippe', 'Hauteserre, D’', 'Keller, Madame Francois', 'Dionis', 'Fontanon, Abbe', 'Chocardelle, Mademoiselle', 'Bixiou, Jean-Jacques', 'Grevin', 'La Roche-Hugon, Martial de', 'Maufrigneuse, Duchesse de', 'Rastignac, Laure-Rose and Agathe de', 'Giguet, Colonel', 'Vinet, Olivier', 'Restaud, Felix-Georges de', 'Cinq-Cygne, Laurence, Comtesse (afterwards Marquise de)', 'Chargeboeuf, Melchior-Rene, Vicomte de', 'Marest, Frederic', 'Gobseck, Sarah Van', 'Rhetore, Duc Alphonse de', 'Cadine, Jenny', 'Brandon, Lady Marie Augusta', 'Cointet, Boniface', 'Estorade, Madame de l’', 'Restaud, Ernest de', 'Arthez, Daniel d’', 'Blondet, Virginie', 'Lanty, Comte de']	74
0	A Distinguished Provincial at Paris	['Negrepelisse, De', 'Gaillard, Madame Theodore', 'Collin, Jacques', 'Beaudenord, Godefroid de', 'Gentil', 'Rastignac, Eugene de', 'Galathionne, Prince and Princess (both not in each story)', 'Ridal, Fulgence', 'Chatelet, Marie-Louise-Anais de Negrepelisse, Baronne du', 'Carigliano, Duchesse de', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Lupeaulx, Clement Chardin des', 'Finot, Andoche', 'Canalis, Constant-Cyr-Melchior, Baron de', 'A Bachelor’s Establishment', 'Coloquinte', 'Bruel, Claudine Chaffaroux, Madame du', 'Meyraux', 'Montcornet, Marechal, Comte de', 'Marsay, Henri de', 'Sechard, David', 'Nucingen, Baron Frederic de', 'Pombreton, Marquis de', 'Desroches (son)', 'Coralie, Mademoiselle', 'Tillet, Ferdinand du', 'Vernou, Felicien', 'Montriveau, General Marquis Armand de', 'Camusot', 'Bruel, Jean Francois du', 'Nathan, Raoul', 'Nucingen, Baronne Delphine de', 'Samanon', 'Chaboisseau', 'Berenice', 'Scenes from a Courtesan’s Life', 'Bridau, Joseph', 'Giraud, Leon', 'Barbet', 'Rubempre, Lucien-Chardon de', 'Sechard, Madame David', 'Cabirolle, Agathe-Florentine', 'Chrestien, Michel', 'Nathan, Madame Raoul', 'Listomere, Marquise de', 'Palma (banker)', 'Dauriat', 'Listomere, Marquis de', 'Lambert, Louis', 'Gaillard, Theodore', 'Blondet, Emile', 'Cardot, Jean-Jerome-Severin', 'Giroudeau', 'Lousteau, Etienne', 'Bianchon, Horace', 'Foy, Maximilien-Sebastien', 'Chatelet, Sixte, Baron du', 'Vandenesse, Comte Felix de', 'Rhetore, Duc Alphonse de', 'Vignon, Claude', 'Manerville, Paul Francois-Joseph, Comte de', 'Matifat (wealthy druggist)', 'Braulard', 'Cavalier', 'Arthez, Daniel d’', 'Grindot', 'Blondet, Virginie', 'Touches, Mademoiselle Felicite des']	68
42	Rise and Fall of Cesar Birotteau	['Braschon', 'Crevel, Celestin', 'Rabourdin, Xavier', 'Guillaume', 'Protez and Chiffreville', 'Vandenesse, Marquise Charles de', 'Mongenod', 'Nucingen, Baronne Delphine de', 'Finot, Andoche', 'Lourdois', 'Haudry (doctor)', 'Fontaine, Comte de', 'Keller, Francois', 'Nucingen, Baron Frederic de', 'Cochin, Adolphe', 'Matifat, Mademoiselle', 'Thouvenin', 'Tillet, Ferdinand du', 'Thirion', 'Camusot', 'Loraux, Abbe', 'Desmartes, Madame Jules', 'Trailles, Comte Maxime de', 'Granville, Vicomte de (later Comte)', 'Desmartes, Jules', 'Crottat, Monsieur and Madame', 'Camusot de Marville, Madame', 'Matifat, Madame', 'Roguin', 'Bidault (known as Gigonnet)', 'Palma (banker)', 'Popinot, Jean-Jules', 'Roguin, Madame', 'Vaillant, Madame', 'Lebas, Madame Joseph (Virginie)', 'Chiffreville, Monsieur and Madame', 'Birotteau, Cesar', 'Cardot, Jean-Jerome-Severin', 'Werbrust', 'Birotteau, Abbe Francois', 'Molineux, Jean-Baptiste', 'Saillard, Madame', 'Gobseck, Jean-Esther Van', 'Cochin, Emile-Louis-Lucien-Emmanuel', 'Listomere, Baronne de', 'Popinot, Anselme', 'Bianchon, Horace', 'Claparon, Charles', 'Vandenesse, Comte Felix de', 'Gobseck, Sarah Van', 'Popinot, Madame Anselme', 'Sommervieux, Madame Theodore de (Augustine)', 'Gaudissart, Felix', 'Lebas, Joseph', 'Montauran, Marquis Alphonse de', 'Ragon, M. and Mme.', 'Crottat, Alexandre', 'Matifat (wealthy druggist)', 'Chaffaroux', 'La Billardiere, Athanase-Jean-Francois-Michel, Baron Flamet de', 'Lenoncourt, Duc de', 'Keller, Adolphe', 'Derville, Madame', 'Grindot']	64
41	Poor Relations	"['Graff, Wolfgang', 'Hannequin, Leopold', 'Lefebvre, Robert', 'Nourrisson, Madame', 'Ronceret, Madame Fabien du', 'Turquet, Marguerite', 'Crevel, Celestin', 'Hulot (Marshal)', 'Vernisset, Victor de', 'Rastignac, Eugene de', 'Vauvinet', 'Steinbock, Count Wenceslas', 'La Bastie la Briere, Madame Ernest de', 'Popinot, Vicomte', 'Falcon, Jean', 'Paz, Thaddee', 'Montcornet, Marechal, Comte de', 'Rochefide, Marquis Arthur de', 'Lebas', 'Nucingen, Baron Frederic de', 'Lenoncourt-Givry, Duc de', 'Tillet, Ferdinand du', 'Vernou, Felicien', ""Esgrignon, Victurnien, Comte (then Marquis d')"", 'Chanor', 'Colleville, Flavie Minoret, Madame', 'Rivet, Achille', 'Samanon', 'Stidmann', 'Trailles, Comte Maxime de', 'Beauvisage, Phileas', 'Bridau, Joseph', 'Hulot, Victorin', 'La Chanterie, Baronne Henri le Chantre de', 'Grassou, Pierre', 'Lebas, Madame Joseph (Virginie)', 'Sinet, Seraphine', 'Chocardelle, Mademoiselle', 'Brisetout, Heloise', 'Bixiou, Jean-Jacques', 'La Baudraye, Madame Polydore Milaud de', ""Herouville, Duc d'"", 'Laginski, Comte Adam Mitgislas', 'La Roche-Hugon, Martial de', 'Lousteau, Etienne', 'Massol', 'Collin, Jacqueline', 'Bianchon, Horace', 'Montauran, Marquis de (younger brother of Alphonse de)', 'Popinot, Anselme', 'Lora, Leon de', 'Popinot, Madame Anselme', 'Vignon, Claude', 'Lebas, Joseph', 'Cadine, Jenny', 'Berthier (Parisian notary)', 'Navarreins, Duc de', 'Braulard', 'La Palferine, Comte de', 'Grindot']"	60
17	Cousin Betty	['Graff, Wolfgang', 'Hannequin, Leopold', 'Lefebvre, Robert', 'Nourrisson, Madame', 'Ronceret, Madame Fabien du', 'Turquet, Marguerite', 'Crevel, Celestin', 'Hulot (Marshal)', 'Vernisset, Victor de', 'Rastignac, Eugene de', 'Vauvinet', 'Steinbock, Count Wenceslas', 'La Bastie la Briere, Madame Ernest de', 'Popinot, Vicomte', 'Falcon, Jean', 'Paz, Thaddee', 'Montcornet, Marechal, Comte de', 'Rochefide, Marquis Arthur de', 'Lebas', 'Nucingen, Baron Frederic de', 'Lenoncourt-Givry, Duc de', 'Tillet, Ferdinand du', 'Vernou, Felicien', 'Chanor', 'Colleville, Flavie Minoret, Madame', 'Rivet, Achille', 'Samanon', 'Stidmann', 'Trailles, Comte Maxime de', 'Beauvisage, Phileas', 'Bridau, Joseph', 'Hulot, Victorin', 'La Chanterie, Baronne Henri le Chantre de', 'Grassou, Pierre', 'Esgrignon, Victurnien, Comte (then Marquis d’)', 'Herouville, Duc d’', 'Lebas, Madame Joseph (Virginie)', 'Sinet, Seraphine', 'Chocardelle, Mademoiselle', 'Brisetout, Heloise', 'La Baudraye, Madame Polydore Milaud de', 'Bixiou, Jean-Jacques', 'Laginski, Comte Adam Mitgislas', 'La Roche-Hugon, Martial de', 'Massol', 'Lousteau, Etienne', 'Montauran, Marquis de (younger brother of Alphonse de)', 'Collin, Jacqueline', 'Bianchon, Horace', 'Popinot, Anselme', 'Lora, Leon de', 'Popinot, Madame Anselme', 'Vignon, Claude', 'Lebas, Joseph', 'Cadine, Jenny', 'Berthier (Parisian notary)', 'Navarreins, Duc de', 'Braulard', 'La Palferine, Comte de', 'Grindot']	60
15	Bureaucracy	['Camps, Madame Octave de', 'Mitral', 'Brezacs (The)', 'Gaudron, Abbe', 'Rabourdin, Xavier', 'Gruget, Madame Etienne', 'Baudoyer, Isidore', 'Phellion', 'Chatelet, Marie-Louise-Anais de Negrepelisse, Baronne du', 'La Bastie la Briere, Ernest de', 'Lupeaulx, Clement Chardin des', 'Finot, Andoche', 'Fontaine, Comte de', 'Keller, Francois', 'Minorets, The', 'Desroches (son)', 'Thuillier, Louis-Jerome', 'Fleury', 'Schinner, Hippolyte', 'Metivier', 'Laudigeois', 'Bruel, Jean Francois du', 'Colleville, Flavie Minoret, Madame', 'Granson, Athanase', 'Samanon', 'Falleix, Jacques', 'Sommervieux, Theodore de', 'Chaboisseau', 'Rubempre, Lucien-Chardon de', 'Nathan, Madame Raoul', 'Bidault (known as Gigonnet)', 'Chessel, Madame de', 'Thuillier, Marie-Jeanne-Brigitte', 'Fontanon, Abbe', 'Poiret, the elder', 'Bixiou, Jean-Jacques', 'Thuillier', 'Gobseck, Jean-Esther Van', 'Cochin, Emile-Louis-Lucien-Emmanuel', 'Colleville', 'Rabourdin, Madame', 'Bianchon, Horace', 'Saillard', 'Godard, Joseph', 'Dutocq', 'Minard, Madame', 'Desplein', 'Ferraud, Comtesse', 'La Billardiere, Athanase-Jean-Francois-Michel, Baron Flamet de', 'Minard, Auguste-Jean-Francois', 'Falleix, Martin', 'Louis XVIII., Louis-Stanislas-Xavier']	52
63	The Lesser Bourgeoisie	['Katt', 'Corentin', 'Rabourdin, Xavier', 'Vinet', 'Baudoyer, Isidore', 'Galathionne, Prince and Princess (both not in each story)', 'Phellion', 'Metivier (nephew)', 'Bruel, Claudine Chaffaroux, Madame du', 'Godeschal, Francois-Claude-Marie', 'Desroches (son)', 'Tillet, Ferdinand du', 'Fleury', 'La Peyrade, Charles-Marie-Theodose de', 'Metivier', 'Laudigeois', 'Bruel, Jean Francois du', 'Colleville, Flavie Minoret, Madame', 'Barbet', 'Bruno', 'Cerizet', 'Poiret, Madame (nee Christine-Michelle Michonneau)', 'Grassou, Pierre', 'Popinot, Jean-Jules', 'Crochard, Charles', 'Thuillier, Marie-Jeanne-Brigitte', 'Cardot (Parisian notary)', 'Couture', 'Brisetout, Heloise', 'La Roche-Hugon, Martial de', 'Poiret, the elder', 'Vinet, Olivier', 'Cochin, Emile-Louis-Lucien-Emmanuel', 'Colleville', 'Lousteau, Etienne', 'Bianchon, Horace', 'Saillard', 'Claparon, Charles', 'Godard, Joseph', 'Dutocq', 'La Peyrade, Madame de', 'Bousquier, Du (or Du Croisier or Du Bourguier)', 'Minard, Madame', 'Beaumesnil, Mademoiselle', 'Chaffaroux', 'Minard, Auguste-Jean-Francois', 'Keller, Adolphe', 'Thuillier', 'Grindot', 'Thuillier, Louis-Jerome']	50
72	The Two Brothers	['Gaillard, Madame Theodore', 'Cabirolle, Madame', 'Gruget, Madame Etienne', 'Grandlieu, Duc Ferdinand de', 'Ridal, Fulgence', 'Gobseck, Esther Van', 'Lupeaulx, Clement Chardin des', 'Rouget, Jean-Jacques', 'Finot, Andoche', 'Coloquinte', 'Bruel, Claudine Chaffaroux, Madame du', 'Haudry (doctor)', 'Godeschal, Francois-Claude-Marie', 'Chaulieu, Henri, Duc de', 'Coralie, Mademoiselle', 'Desroches (son)', 'Grandlieu, Mademoiselle de', 'Schinner, Hippolyte', 'Tillet, Ferdinand du', 'Vernou, Felicien', 'Bridau, Philippe', 'Camusot', 'Loraux, Abbe', 'Bruel, Jean Francois du', 'Bridau, Joseph', 'Giraud, Leon', 'Cabirolle, Agathe-Florentine', 'Chrestien, Michel', 'Magus, Elie', 'Grassou, Pierre', 'Nathan, Madame Raoul', 'Roguin', 'Maufrigneuse, Duc de', 'Birotteau, Cesar', 'Cardot, Jean-Jerome-Severin', 'Bixiou, Jean-Jacques', 'Giroudeau', 'Godeschal, Marie', 'Lousteau, Etienne', 'Bianchon, Horace', 'Claparon, Charles', 'Lora, Leon de', 'Rhetore, Duc Alphonse de', 'Serizy, Comte Hugret de', 'Desplein', 'Matifat (wealthy druggist)', 'Navarreins, Duc de', 'Brambourg, Comte de (Title of Philippe Bridau, later Joseph)', 'Gerard, Francois-Pascal-Simon, Baron', 'Touches, Mademoiselle Felicite des']	50
14	Beatrix	['Casteran, De', 'Hannequin, Leopold', 'Gaillard, Madame Theodore', 'Ronceret, Madame Fabien du', 'Conti, Gennaro', 'Portenduere, Vicomte Savinien de', 'Gobenheim', 'Vernisset, Victor de', 'Halga, Chevalier du', 'Galathionne, Prince and Princess (both not in each story)', 'Simeuse, Admiral de', 'Cambremer, Pierre', 'Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’', 'Maufrigneuse, Georges de', 'Canalis, Constant-Cyr-Melchior, Baron de', 'Grandlieu, Duchesse Ferdinand de', 'Rochefide, Marquis Arthur de', 'Guenic, Gaudebert-Calyste-Charles, Baron du', 'Ronceret, Du', 'Trailles, Comte Maxime de', 'Maufrigneuse, Berthe de', 'Stidmann', 'Blondet (Judge)', 'Gaillard, Theodore', 'Ajuda-Pinto, Marquis Miguel d’', 'Chocardelle, Mademoiselle', 'Bixiou, Jean-Jacques', 'Brossette, Abbe', 'Ferdinand', 'Lousteau, Etienne', 'Portenduere, Vicomtesse Savinien de', 'Ronceret, Fabien-Felicien du (or Duronceret)', 'Lora, Leon de', 'Rochefide, Marquise de', 'Vignon, Claude', 'Cadine, Jenny', 'Lenoncourt, Duc de', 'La Palferine, Comte de', 'Grindot', 'Gerard, Francois-Pascal-Simon, Baron', 'Touches, Mademoiselle Felicite des']	41
