Nom_canonique	Variantes	Statut	Secteur	Sexe
M de Bargeton	[Monsieur de Bargeton]	[noble]	[aristocratie]	[homme]
Louise	[Nègrepelisse, Madame de Bargeton, Louise, Naïs, baronne du Chatelet, Madame la Baronne, comtesse Châtelet]	[noble]	[aristocratie]	[femme]
Châtelet	[Châtelet]	[noble]	[aristocratie]	[homme]
Ève	[Ève]	[blanchisseuse]	[service]	[femme]
Lucien	[Lucien, Monsieur Chardon, monsieur de Rubempré, votre frère]	[journaliste]	[presse]	[homme]
Mme de Rubempré	[demoiselle de Rubempré, madame Charlotte, madame Chardon]	[sage-femme]	[service]	[femme]
Postel	[(?<!Madame\\s+)Postel]	[pharmacien]	[commerce]	[homme]
Mme Postel	[madame Postel, Léonie Postel]	[épouse]	[commerce]	[femme]
David	[David, prote des Didot, élève des Didot]	[imprimeur]	[imprimerie]	[homme]
Père Séchard	[Nicolas Séchard, citoyen Séchard, père Séchard, vieux Séchard, vieux vigneron, l'ancien typographe, vieil ours]	[imprimeur]	[imprimerie]	[homme]
Didot	[Didot]	[imprimeur]	[imprimerie]	[homme]
comte de Maucombe	[Maucombe],	[prote]	[imprimerie]	[homme]
Gentil	[Gentil]	[domestique]	[service]	[homme]
Albertine	[Albertine]	[femme de chambre]	[service]	[femme]
Cointet	[Cointet]	[imprimeur]	[imprimerie]	[homme]
Petit-Claud	[Petit-Claud]	[avoué]	[droit]	[homme]
Cérizet	[Cérizet, ancien prote de Séchard]	[prote]	[imprimerie]	[homme]
Marion	[Marion]	[femme à tout faire]	[service]	[femme]
Kolb	[Kolb]	[colporteur]	[commerce]	[homme]
M de Chandour	[Monsieur de Chandour, Stanislas]	[noble]	[aristocratie]	[homme]
Mmme de Chandour	[Amélie, madame de Chandour]	[noble]	[aristocratie]	[femme]
Françoise de La Haye	[de La Haye, Françoise]	[noble]	[aristocratie]	[femme]
Mmme de Sénonches	[Zéphirine, Zizine, madame de Sénonches]	[noble]	[aristocratie]	[femme]
Évêque	[l'Évêque]	ecclésiastique	[religion]	[homme]
Francis	[du Hautoy, Francis, ancien consul]	[noble]	[aristocratie]	[homme]
Baron de Rastignac	[baron de Rastignac, les Rastignac]	[noble]	[aristocratie]	[homme]
Baronne de Rastignac	[baronne de Rastignac, madame de Rastignac]	[noble]	[aristocratie]	[femme]
Laure de Rastignac	[Laure de Rastignac, Laure-Rose, mademoiselle de Rastignac]	[noble]	[aristocratie]	[femme]
Agathe de Rastignac	[Agathe de Rastignac]	[noble]	[aristocratie]	[femme]
Mme Prieur	[madame Prieur]	[blanchisseuse]	[service]	[femme]
Marquis de Pimentel	[Monsieur de Pimentel]	[noble]	[aristocratie]	[homme]
Mme de Pimentel	[Madame de Pimentel]	[noble]	[aristocratie]	[femme]
Montriveau	[Montriveau]	[militaire]	[armée]	[homme]
Lolotte	[Charlotte de Brebian, Lolotte]	[noble]	[aristocratie]	[femme]
Fifine	[Joséphine de Barcas, Fifine]	[noble]	[aristocratie]	[femme]
M de Bartas	[monsieur de Bartas, Adrien]	[noble]	[aristocratie]	[homme]
Abbé Grozier	[abbé Grozier]	[ecclésiastique]	[religion]	[homme]
Rastignac	[Eugène, petit Rastignac, jeune Rastignac]	[noble]	[aristocratie]	[homme]
Abbé Marron	[abbé Marron, l'abbé]	[ecclésiastique]	[religion]	[homme]
Abbé Carlos Herrera	[Herrera, Vautrin, Collin, Trompe-la-Mort]	[forçat]	[crime]	[homme]
Coralie	[Coralie]	[actrice]	[théâtre]	[femme]
Florine	[Florine, Florville]	[actrice]	[théâtre]	[femme]
Camusot	[Camusot]	[marchand]	[commerce]	[homme]
Dauriat	[Dauriat]	[propriétaire de revue]	[presse]	[homme]
Matifat	[Matifat]	[droguiste]	[commerce]	[homme]
Du Bruel	[Du Bruel]	[auteur dramatique]	[théâtre]	[homme]
Lousteau	[Lousteau, Étienne]	[journaliste]	[presse]	[homme]
Blondet	[Émile, Blondet]	[journaliste]	[presse]	[homme]
Théodore Gaillard	[Gaillard]	[directeur de journal]	[presse]	[homme]
Père Chaboisseau	[Chaboisseau]	[escompteur de la librairie]	[finance]	[homme]
Finot	[Andoche, Finot]	[directeur de journal]	[presse]	[homme]
Vernou	[Vernou, Félicien]	[journaliste]	[presse]	[homme]
Nathan	[Nathan, Raoul]	[romancier]	[presse]	[homme]
Bixiou	[Jean-Jacques, Bixiou]	[caricaturiste]	[presse]	[homme]
Des Lupeaulx	[des Lupeaulx, Chardin]	[propriétaire terrien]	[propriété foncière]	[homme]
Mlle des Touches	[Camille, Maupin, des Touches]	[auteur dramatique]	[théâtre]	[femme]
Bianchon	[Horace, Bianchon]	[interne en médecine]	[santé]	[homme]
d'Arthez	[d'Arthez, Daniel]	[romancier]	[littérature]	[homme]
Giraud	[Léon, Giraud]	[philosophe]	[philosophie]	[homme]
Chrestien	[Chrestien, Michel, Chrestien]	[homme politique]	[politique]	[homme]
Bridau	[Joseph, Bridau]	[peintre]	[arts plastiques]	[homme]
Ridal	[Fulgence, Ridal]	[auteur dramatique]	[théâtre]	[homme]
Mme de Montcornet	[comtesse de Montcornet, madame de Montcornet]	[noble]	[aristocratie]	[femme]
Mme d'Espard	[madame d'Espard, marquise d'Espard]	[noble]	[aristocratie]	[femme]
Mme du Val-Noble	[madame du Val-Noble]	[noble]	[aristocratie]	[femme]
Duc de Rhétoré	[Rhétoré]	[noble]	[aristocratie]	[homme]
Marquis de Ronquerolles	[Monquerolles]	[noble]	[aristocratie]	[homme]
Henri de Marsay	[Henri, de Marsay]	[noble]	[aristocratie]	[homme]
Courtois	[(?<!madame\\s+)Courtois]	[meunier]	[commerce]	[homme]
Mme Courtois	[madame Courtois]	[meunier]	[commerce]	[femme]
Milaud	[Milaud]	[procureur du roi]	[droit]	[homme]
