Character
Braschon
Givry
Corentin
Katt
"Collin, Jacques"
"Meynardie, Madame"
"Gobseck, Esther Van"
"Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d’"
"Sechard, David"
Desroches (son)
"Grandlieu, Mademoiselle de"
"Espard, Charles-Maurice-Marie-Andoche, Comte de Negrepelisse, Marquis d’"
"Mirbel, Madame de"
"Lenoncourt-Givry, Duchesse de"
Derville
"Chardon, Madame (nee Rubempre)"
"Bibi-Lupin (chief of secret police, called himself Gondureau)"
"La Peyrade, Madame de"
"Rhetore, Duc Alphonse de"
"Beaumesnil, Mademoiselle"
Peyrade
"Nourrisson, Madame"
"Serizy, Comtesse de"
Louchard
"Vernou, Felicien"
"Rubempre, Lucien-Chardon de"
Cerizet
Dauriat
"Gaillard, Theodore"
"Blondet, Emile"
"Schmucke, Wilhelm"
"Ajuda-Pinto, Marquis Miguel d’"
"Maufrigneuse, Duchesse de"
Selerier
"Godeschal, Marie"
"Collin, Jacqueline"
"Bianchon, Horace"
Lebrun
"Gobseck, Sarah Van"
Marron
Cachan
"Estourny, Charles d’"
Madeleine
"Portenduere, Vicomte Savinien de"
"Rastignac, Eugene de"
"Grandlieu, Duc Ferdinand de"
"Grandlieu, Vicomte Juste de"
"Lupeaulx, Clement Chardin des"
"Montcornet, Marechal, Comte de"
"Nucingen, Baron Frederic de"
"La Peyrade, Charles-Marie-Theodose de"
"Nathan, Raoul"
"Falleix, Jacques"
"Bauvan, Comte Octave de"
"Crottat, Monsieur and Madame"
"Camusot de Marville, Madame"
"Poiret, Madame (nee Christine-Michelle Michonneau)"
"Espard, Chevalier d’"
"Maufrigneuse, Duc de"
"Herrera, Carlos"
"Grandlieu, Vicomtesse de"
"Poiret, the elder"
"Lousteau, Etienne"
"Chatelet, Sixte, Baron du"
"Granville, Vicomte de"
"Fouche, Joseph"
"Navarreins, Duc de"
"Bouvard, Doctor"
Grindot
"Louis XVIII., Louis-Stanislas-Xavier"
"Vivet, Madeleine"
"Granville, Baron Eugene de"
"Gaillard, Madame Theodore"
"Nucingen, Baronne Delphine de"
"Finot, Andoche"
"Grandlieu, Duchesse Ferdinand de"
"Chaulieu, Henri, Duc de"
